POP,HP,REG,regHP,SAMPLE,LANE,READ1,READ2
CPSC,CP,Scot,ScotCP,P14052_114,S14_L001,../../../data/WGS/rawdata/P14052/P14052_114/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_114_S14_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_114/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_114_S14_L001_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P14052_115,S15_L001,../../../data/WGS/rawdata/P14052/P14052_115/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_115_S15_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_115/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_115_S15_L001_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P14052_116,S16_L001,../../../data/WGS/rawdata/P14052/P14052_116/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_116_S16_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_116/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_116_S16_L001_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P14052_117,S17_L001,../../../data/WGS/rawdata/P14052/P14052_117/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_117_S17_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_117/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_117_S17_L001_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P14052_118,S18_L001,../../../data/WGS/rawdata/P14052/P14052_118/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_118_S18_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_118/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_118_S18_L001_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P14052_119,S19_L001,../../../data/WGS/rawdata/P14052/P14052_119/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_119_S19_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_119/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_119_S19_L001_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P14052_120,S20_L001,../../../data/WGS/rawdata/P14052/P14052_120/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_120_S20_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_120/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_120_S20_L001_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P14052_121,S21_L001,../../../data/WGS/rawdata/P14052/P14052_121/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_121_S21_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_121/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_121_S21_L001_R2_001.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_122,S22_L001,../../../data/WGS/rawdata/P14052/P14052_122/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_122_S22_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_122/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_122_S22_L001_R2_001.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_123,S23_L001_pt1,data/split/P14052_123_S23_L001_R1_001.part_001.fastq.gz,data/split/P14052_123_S23_L001_R2_001.part_001.fastq.gz
